,a,b,ca,cb,taxo,geom,mixed,prec,rec,f1,acc,model,hsize,gsize,cos,euc,neuc,taxcos,taxeuc,taxneuc
7874,dbo:RoadJunction,dbo:Skater,191,544,4.566666666666666,0.5532819390734011,2.5599743028700344,0.987012987012987,0.987012987012987,0.987012987012987,0.9837398373983741,TransH_50d_120e,282.7319727891156,322.34143388649244,0.9582385743639275,6.613178633040242,1.3843688629580828,0.9304128170798753,0.853145342494432,0.9556904948960625
7875,dbo:RoadJunction,dbo:Arachnid,191,4152,4.366666666666666,0.4116943627708134,2.38918051471874,0.9857142857142858,1.0,0.9928057553956836,0.9918699186991871,TransH_50d_120e,365.2000921022335,890.5234415780415,0.8963808531007533,6.215977971526283,1.3389405163044048,0.8803648659102239,0.8097505409157263,0.9190324253154931
7876,dbo:RoadJunction,dbo:TelevisionEpisode,191,8512,3.783333333333333,0.522181797609862,2.1527575654715982,1.0,1.0,1.0,1.0,TransH_50d_120e,373.61645409628863,1275.0654885142178,0.887916285236465,4.601914339978527,1.3326036809467885,0.8147875918481691,0.657642465885476,0.8552462326481038
7877,dbo:RoadJunction,dbo:LacrosseLeague,191,55,4.366666666666666,0.5029779909805607,2.4348223288236133,1.0,0.8125,0.8965517241379308,0.9516129032258064,TransH_50d_120e,85.40650406504066,102.4939022576465,0.8155432865545249,4.640524440998021,1.2771399974587945,0.8425697673762202,0.7214267609355423,0.897903702253412
7878,dbo:RoadJunction,dbo:LawFirm,191,512,4.366666666666666,0.4757439390540884,2.4212053028603773,0.9610389610389609,1.0,0.9801324503311256,0.975609756097561,TransH_50d_120e,278.2133712660028,312.71712457107316,0.7906615110593402,4.118198368218802,1.257506668816782,0.830936448899177,0.6921438831888427,0.8911913449558913
7879,dbo:RoadJunction,dbo:Volcano,191,784,2.1166666666666663,0.3059643401269742,1.21131550339682,0.825,0.8918918918918919,0.8571428571428571,0.8211382113821138,TransH_50d_120e,307.1671794871795,386.9676989103869,0.8389969915816851,5.6504343065378615,1.2953740707468904,0.6158593441016521,0.5403687228603878,0.6664616176035557
7880,dbo:RoadJunction,dbo:Species,191,300153,3.283333333333333,0.4108812158469113,1.8471072745901225,0.9848484848484848,1.0,0.9923664122137404,0.9918699186991871,TransH_50d_120e,381.75707189089843,7571.60636853238,0.8477957290480787,5.060792208982701,1.3021487849305688,0.7432125753805281,0.6305513806654028,0.7920172331564848
7881,dbo:RoadJunction,dbo:Swimmer,191,6000,4.366666666666666,0.5345373107695072,2.4506019887180868,1.0,1.0,1.0,1.0,TransH_50d_120e,370.21482797609434,1070.5138952858106,0.8676169667954923,6.005553506755227,1.317282784215669,0.866916490809688,0.7979536305221491,0.9116279531200603
7882,dbo:RoadJunction,dbo:LacrossePlayer,191,432,4.366666666666666,0.5159100889020384,2.4412883777843524,1.0,1.0,1.0,1.0,TransH_50d_120e,264.88603531300157,287.24902088605984,0.8704710839940382,4.708551193838717,1.31944767535059,0.8682509154510452,0.7252405071579734,0.9123680987709984
7883,dbo:RoadJunction,dbo:Politician,191,41017,4.116666666666666,0.5706240374986017,2.343645352082634,1.0,1.0,1.0,1.0,TransH_50d_120e,380.2294214715589,2798.9724900398705,0.828317411519505,5.128575785001134,1.2871032682108339,0.8221337788868366,0.7223796628142205,0.874901552862583
